time,close,EMA,EMA,EMA,Volume
1970-01-31,590600000000,NaN,NaN,NaN,NaN
1970-02-28,603100000000,NaN,NaN,NaN,NaN
1970-03-31,612900000000,NaN,NaN,NaN,NaN
1970-04-30,627400000000,NaN,NaN,NaN,NaN
1970-05-31,644700000000,NaN,NaN,NaN,NaN
1970-06-30,657600000000,NaN,NaN,NaN,NaN
1970-07-31,675900000000,NaN,NaN,NaN,NaN
1970-08-31,684200000000,NaN,NaN,NaN,NaN
1970-09-30,696400000000,NaN,643644444444.4445,NaN,NaN
1970-10-31,704300000000,NaN,655775555555.5555,NaN,NaN
1970-11-30,716800000000,NaN,667980444444.4445,NaN,NaN
1970-12-31,745400000000,NaN,683464355555.5555,NaN,NaN
1971-01-31,751400000000,NaN,697051484444.4445,NaN,NaN
1971-02-28,771200000000,NaN,711881187555.5555,NaN,NaN
1971-03-31,808900000000,NaN,731284950044.4445,NaN,NaN
1971-04-30,841800000000,NaN,753387960035.5555,NaN,NaN
1971-05-31,855100000000,NaN,773730368028.4445,NaN,NaN
1971-06-30,868500000000,NaN,792684294422.7556,NaN,NaN
1971-07-31,872600000000,NaN,808667435538.2045,NaN,NaN
1971-08-31,879600000000,NaN,822853948430.5636,NaN,NaN
1971-09-30,913200000000,NaN,840923158744.4509,NaN,NaN
1971-10-31,928400000000,NaN,858418526995.5608,NaN,NaN
1971-11-30,959400000000,NaN,878614821596.4486,NaN,NaN
1971-12-31,964300000000,NaN,895751857277.1589,NaN,NaN
1972-01-31,1012300000000,NaN,919061485821.7272,NaN,NaN
1972-02-29,1019400000000,NaN,939129188657.3817,NaN,NaN
1972-03-31,1038900000000.0001,NaN,959083350925.9054,NaN,NaN
1972-04-30,1050500000000,NaN,977366680740.7244,NaN,NaN
1972-05-31,1073400000000.0001,NaN,996573344592.5795,NaN,NaN
1972-06-30,1115800000000,NaN,1020418675674.0636,NaN,NaN
1972-07-31,1142300000000,NaN,1044794940539.2509,NaN,NaN
1972-08-31,1178200000000,NaN,1071475952431.4006,NaN,NaN
1972-09-30,1213800000000,NaN,1099940761945.1206,NaN,NaN
1972-10-31,1247900000000,NaN,1129532609556.0964,NaN,NaN
1972-11-30,1287800000000,NaN,1161186087644.8772,NaN,NaN
1972-12-31,1283700000000,NaN,1185688870115.9019,NaN,NaN
